Time,Avg_Latency_ms,Throughput_RPS,Tokens_Lost,Success_Rate
243,3.23,1288.0,0,100.0
243,2.85,1225.5,0,100.0
244,3.28,998.8,0,100.0
245,2.66,1364.4,0,100.0
245,2.89,1385.1,0,100.0
246,2.64,1200.1,0,100.0
246,3.34,1284.5,0,100.0
247,3.1,1426.9,0,100.0
247,3.46,1240.2,0,100.0
248,2.78,1599.0,0,100.0
248,3.45,1052.7,0,100.0
249,3.02,1312.2,0,100.0
249,2.69,1362.8,0,100.0
250,2.96,1392.0,0,100.0
250,3.35,1401.0,0,100.0
251,3.69,1306.4,0,100.0
251,2.07,1299.3,0,100.0
252,3.6,976.6,0,100.0
252,2.3,1426.5,0,100.0
253,3.49,1239.0,0,100.0
253,3.42,1413.7,0,100.0
254,2.81,1363.2,0,100.0
254,2.17,1286.2,0,100.0
255,2.74,1337.0,0,100.0
255,2.6,1372.6,0,100.0
256,3.42,1243.2,0,100.0
256,2.97,1413.4,0,100.0
257,2.55,1623.7,0,100.0
257,3.0,1249.5,0,100.0
258,3.11,1188.2,0,100.0
258,2.98,1230.3,0,100.0
259,2.58,1597.3,0,100.0
259,3.05,1331.2,0,100.0
260,3.13,1333.3,0,100.0
260,2.88,1283.0,0,100.0
261,2.47,1456.1,0,100.0
261,3.0,1314.0,0,100.0
262,2.6,1375.2,0,100.0
262,2.86,1373.4,0,100.0
263,3.05,1330.4,0,100.0
263,2.95,1247.6,0,100.0
264,2.66,1295.4,0,100.0
264,2.44,1280.8,0,100.0
265,3.59,1268.0,0,100.0
265,2.95,1282.7,0,100.0
266,2.98,1507.0,0,100.0
266,3.18,1388.1,0,100.0
267,3.06,1534.6,0,100.0
267,2.9,1291.8,0,100.0
268,2.31,1217.8,0,100.0
268,3.05,1536.9,0,100.0
269,2.85,1536.8,0,100.0
269,2.66,1325.8,0,100.0
270,2.78,1315.7,0,100.0
270,2.94,1322.6,0,100.0
271,2.98,1410.5,0,100.0
271,3.35,1141.1,0,100.0
272,2.76,1386.3,0,100.0
272,3.37,1180.5,0,100.0
273,2.88,1342.0,0,100.0
274,3.78,986.2,0,100.0
274,3.09,1396.9,0,100.0
275,2.21,1415.9,0,100.0
275,2.92,1290.1,0,100.0
276,3.11,1151.7,0,100.0
276,2.78,1270.8,0,100.0
277,3.1,1428.6,0,100.0
277,3.44,1132.6,0,100.0
278,3.52,1207.3,0,100.0
278,4.13,1189.6,0,100.0
279,2.55,1174.7,0,100.0
279,3.24,1385.8,0,100.0
280,4.47,1097.6,0,100.0
280,3.08,1148.1,0,100.0
281,3.13,1443.0,0,100.0
281,3.08,1396.4,0,100.0
282,3.58,1289.7,0,100.0
282,3.12,1610.9,0,100.0
283,2.79,1380.2,0,100.0
283,2.8,1401.0,0,100.0
284,2.52,1565.3,0,100.0
284,2.82,1331.0,0,100.0
285,2.94,1303.8,0,100.0
285,2.8,1535.0,0,100.0
286,3.87,1109.3,0,100.0
286,2.53,1361.7,0,100.0
287,3.56,1210.4,0,100.0
287,2.92,1322.2,0,100.0
288,2.43,1472.7,0,100.0
288,3.57,1210.7,0,100.0
289,3.0,1330.5,0,100.0
289,2.91,1328.3,0,100.0
290,2.71,1329.0,0,100.0
290,2.8,1244.2,0,100.0
291,3.66,1224.4,0,100.0
291,3.15,1306.8,0,100.0
292,3.01,1326.5,0,100.0
292,4.61,949.6,0,100.0
293,2.69,1376.9,0,100.0
293,3.0,1034.8,0,100.0
294,2.43,1408.7,0,100.0
294,2.46,1521.9,0,100.0
295,3.4,1427.6,0,100.0
295,3.04,1261.3,0,100.0
296,3.34,1162.5,0,100.0
296,3.3,1262.2,0,100.0
297,3.26,1236.7,0,100.0
297,3.11,1095.3,0,100.0
298,3.55,1081.1,0,100.0
298,2.75,1620.4,0,100.0
299,3.45,1174.9,0,100.0
299,3.22,1292.1,0,100.0
300,3.5,1163.4,0,100.0
300,3.29,1327.4,0,100.0
